FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA
08JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,14,0,
08JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,18,0,
08JAN2021:00:00:00,41 a 50,M,Sputnik,Público,170,0,
08JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,4,0,
08JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,14,0,
08JAN2021:00:00:00,51 a 60,F,Sputnik,Público,185,0,
08JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,8,0,
08JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,16,0,
08JAN2021:00:00:00,51 a 60,M,Sputnik,Público,103,0,
08JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,
08JAN2021:00:00:00,61 a 70,F,Sputnik,Público,4,0,
08JAN2021:00:00:00,61 a 70,M,Sputnik,Público,5,0,
08JAN2021:00:00:00,61 a 70,M,Sputnik,Público nacional,1,0,
09JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,3,0,
09JAN2021:00:00:00,30 o menos,F,Sputnik,Público,24,0,
09JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,13,0,
09JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,1,0,
09JAN2021:00:00:00,30 o menos,M,Sputnik,Público,10,0,
09JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,3,0,
09JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,4,0,
09JAN2021:00:00:00,31 a 40,F,Sputnik,Público,81,0,
09JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,17,0,
09JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,9,0,
09JAN2021:00:00:00,31 a 40,M,Sputnik,Público,52,0,
09JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,11,0,
09JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,2,0,
09JAN2021:00:00:00,41 a 50,F,Sputnik,Público,68,0,
26JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,7,
26JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,6,
26JAN2021:00:00:00,51 a 60,F,Sputnik,Público,0,117,
26JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,1,13,
26JAN2021:00:00:00,51 a 60,M,Sputnik,Público,0,68,
26JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,5,
26JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,4,
26JAN2021:00:00:00,61 a 70,M,Sputnik,Privado,1,0,
26JAN2021:00:00:00,61 a 70,M,Sputnik,Público,0,2,
26JAN2021:00:00:00,91 o mas,F,Sputnik,Público,1,0,
27JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,0,1,
27JAN2021:00:00:00,30 o menos,F,Sputnik,Público,0,109,
27JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,6,
27JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,1,3,
27JAN2021:00:00:00,30 o menos,M,Sputnik,Público,0,64,
27JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,6,
27JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,1,8,
27JAN2021:00:00:00,31 a 40,F,Sputnik,Público,1,174,
27JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,14,
27JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,0,14,
27JAN2021:00:00:00,31 a 40,M,Sputnik,Público,0,144,
27JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,11,
27JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,0,14,
27JAN2021:00:00:00,41 a 50,F,Sputnik,Público,0,173,
27JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,0,5,
27JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,0,10,
27JAN2021:00:00:00,41 a 50,M,Sputnik,Público,0,97,
27JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,10,
27JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,2,
27JAN2021:00:00:00,51 a 60,F,Sputnik,Público,1,149,
27JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,3,
27JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,0,5,
27JAN2021:00:00:00,51 a 60,M,Sputnik,Público,0,72,
27JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,5,
27JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,2,
27JAN2021:00:00:00,61 a 70,M,Sputnik,Público,0,2,
28JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,0,9,
28JAN2021:00:00:00,30 o menos,F,Sputnik,Público,0,129,
28JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,7,
28JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,0,6,
28JAN2021:00:00:00,30 o menos,M,Sputnik,Público,0,67,
28JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,2,
28JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,0,21,
28JAN2021:00:00:00,31 a 40,F,Sputnik,Público,0,243,
28JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,9,
28JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,0,16,
28JAN2021:00:00:00,31 a 40,M,Sputnik,Público,0,128,
28JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,8,
28JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,0,14,
28JAN2021:00:00:00,41 a 50,F,Sputnik,Público,0,206,
28JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,0,6,
28JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,0,10,
28JAN2021:00:00:00,41 a 50,M,Sputnik,Público,0,113,
28JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,5,
28JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,5,
28JAN2021:00:00:00,51 a 60,F,Sputnik,Público,0,155,
28JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,4,
28JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,0,2,
28JAN2021:00:00:00,51 a 60,M,Sputnik,Público,0,97,
28JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,4,
29JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,0,32,
29JAN2021:00:00:00,30 o menos,F,Sputnik,Público,0,145,
29JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,11,
29JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,0,22,
29JAN2021:00:00:00,30 o menos,M,Sputnik,Público,0,75,
29JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,5,
29JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,0,44,
29JAN2021:00:00:00,31 a 40,F,Sputnik,Público,3,309,
29JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,20,
29JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,0,53,
29JAN2021:00:00:00,31 a 40,M,Sputnik,Público,0,173,
29JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,17,
29JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,0,32,
29JAN2021:00:00:00,41 a 50,F,Sputnik,Público,0,266,
29JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,0,9,
29JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,0,23,
